section,title,date,page,url,relate_stock,real_title,contents,datetime
공시/메모,"HD한국조선해양, 여객선 2척 건조계약 해지…4천169억원 규모",2024-02-13,1,https://n.news.naver.com/mnews/article/001/0014503103,"['HD한국조선해양', 'HD현대']","HD한국조선해양, 여객선 2척 건조계약 해지…4천169억원 규모","(서울=연합뉴스) 김보경 기자 = HD현대의 조선 중간 지주사인 HD한국조선해양은 뉴질랜드 키위레일사(社)와 체결한 여객선 2척에 대한 건조 계약이 해지됐다고 13일 공시했다. 계약은 선주사 측 요청으로 해지됐다. 총계약 규모는 4천169억원이다. HD한국조선해양은 지난 2021년 선박을 수주했다. HD한국조선해양 관계자는 ""계약 취소된 선박 2척은 착공 전으로, 이미 투입된 설계비용 청구 등 계약 취소에 따른 세부 협의는 향후 진행할 예정이다""라고 말했다. HD한국조선해양이 건조한 여객선 [HD한국조선해양 제공. 재판매 및 DB 금지] vivid@yna.co.kr",2024-02-13 18:20
공시/메모,"한국정보통신, 작년 영업익 356억…전년比 32%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672545,[],"한국정보통신, 작년 영업익 356억…전년比 32%↑","[이데일리 김보겸 기자] 한국정보통신(025770)은 연결 기준 작년 영업이익이 전년 대비 31.6% 증가한 356억원으로 집계됐다고 13일 공시했다. 같은 기간 매출액은 21.8% 늘어난 7252억원, 당기순이익은 38.1% 늘어난 300억원을 기록했다.",2024-02-13 19:02
공시/메모,"베셀, 작년 영업손실 125억…전년比 91% ↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672540,[],"베셀, 작년 영업손실 125억…전년比 91% ↑","[이데일리 김보겸 기자] 베셀(177350)은 연결 기준 작년 영업손실이 전년 대비 91.2% 늘어난 125억원을 기록했다고 13일 공시했다. 같은 기간 매출액은 40.7% 감소한 261억원, 당기순손실은 62.3% 늘어난 228억원으로 집계됐다.",2024-02-13 18:54
공시/메모,"AP위성, 지난해 영업이익 100억…전년比 124%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379269,[],"AP위성, 지난해 영업이익 100억…전년比 124%↑","AP위성은 개별 기준 지난해 영업이익이 전년 대비 124.09% 증가한 100억원을 기록했다고 13일 공시했다.같은 기간 매출액은 7.78% 감소한 494억원, 당기순이익은 157.88% 증가한 105억원으로 집계됐다.",2024-02-13 18:14
공시/메모,"유진이엔티, 3219억 규모 유상증자 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379268,[],"유진이엔티, 3219억 규모 유상증자 결정",유진기업은 종속회사인 유진이엔티가 타법인 주식(와이티엔)을 취득하기 위한 자금 3199억원과 운영자금 20억원을 조달하기 위해 3219만주의 신주를 발행하는 주주배정 유상증자를 결정했다고 13일 공시했다.,2024-02-13 18:13
공시/메모,"디아이티, 작년 영업익 87억…전년比 58%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672519,[],"디아이티, 작년 영업익 87억…전년比 58%↑","[이데일리 김보겸 기자] 디아이티(110990)는 연결 기준 작년 영업이익이 57.8% 증가한 87억원으로 집계됐다고 13일 공시했다.같은 기간 매출액은 19.4% 감소한 1070억원, 당기순이익은 40.1% 증가한 129억원을 기록했다.",2024-02-13 18:12
공시/메모,"케이엔에스, 작년 영업익 39억…전년比 35% ↓",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672517,[],"케이엔에스, 작년 영업익 39억…전년比 35% ↓","[이데일리 김보겸 기자] 케이엔에스(432470)는 연결 기준 작년 영업이익이 34.8% 감소한 39억원으로 집계됐다고 13일 공시했다. 같은 기간 매출액은 13.5% 감소한 300억원, 당기순이익은 44.1% 감소한 27억원으로 집계됐다.",2024-02-13 18:10
공시/메모,"성도이엔지, 지난해 영업이익 136억…흑자 전환",2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379265,[],"성도이엔지, 지난해 영업이익 136억…흑자 전환",성도이엔지는 지난해 연결 영업이익이 136억원을 기록해 전년 대비 흑자 전환했다고 13일 공시했다.같은 기간 매출액은 6811억원으로 3.5% 감소했고 당기순이익은 25억원으로 235.8% 늘었다.한편 성도이엔지는 이날 주당 100원을 지급하는 결산 배당을 결정했다. 배당금 총액은 14억원으로 배당 기준일은 작년 12월31일이다.,2024-02-13 18:09
공시/메모,"AP위성, 작년 영업익 100억…전년比 124%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672514,[],"AP위성, 작년 영업익 100억…전년比 124%↑","[이데일리 김보겸 기자] AP위성(211270)은 개별 기준 작년 영업이익이 전년대비 124.09% 증가한 100억원을 기록했다고 13일 공시했다. 같은 기간 매출액은 7.78% 감소한 494억원, 당기순이익은 157.88% 증가한 105억원으로 집계됐다.",2024-02-13 18:09
공시/메모,"휴림에이텍, 작년 영업익 48억…전년比 86%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672513,[],"휴림에이텍, 작년 영업익 48억…전년比 86%↑",[이데일리 김보겸 기자] 휴림에이텍(078590)은 작년 영업이익이 48억원을 기록해 전년 대비 85.97% 증가했다고 13일 공시했다.같은 기간 매출액은 637억원으로 46.22% 증가했고 당기순이익은 81억원으로 16.90% 감소했다,2024-02-13 18:08
공시/메모,NHN 작년 영업이익 555억원…전년 대비 42.2%↑(종합),2024-02-13,1,https://n.news.naver.com/mnews/article/001/0014503083,[],NHN 작년 영업이익 555억원…전년 대비 42.2%↑(종합),"""안정적인 게임 매출 속 결제·광고·기술 성장"" NHN 전경[NHN 제공] (서울=연합뉴스) 김주환 기자 = NHN은 연결 기준 작년 한 해 영업이익이 555억원으로 전년보다 42.2% 증가한 것으로 잠정 집계됐다고 13일 공시했다. 매출은 2조2천696억원으로 전년 대비 7.3% 증가했다. 순손실은 90억원으로 전년 318억원 대비 적자 폭이 축소됐다. 4분기 영업손실은 78억원으로 전년 동기(영업이익 100억원)와 비교해 적자 전환했다. 이는 연합인포맥스가 집계한 시장 전망치(영업이익 117억원)와 크게 엇갈렸다. 이 분기 매출은 5천983억원이었으며 순손실은 579억원이었다. NHN은 연간 실적과 관련해 ""게임사업이 안정적으로 매출에 기여한 가운데 결제·광고, 기술 등 주요 사업 매출이 늘었다""며 ""매출 연동 비용이 늘어났음에도 광고선전비 등 비용이 줄어들면서 순손실도 감소했다""고 밝혔다. NHN은 14일 2023년도 4분기 및 연간 실적발표를 통해 구체적인 경영 실적과 올해 계획을 밝힐 예정이다. jujuk@yna.co.kr",2024-02-13 18:02
공시/메모,"대한약품, 주당 750원 결산 현금배당 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672511,[],"대한약품, 주당 750원 결산 현금배당 결정",[이데일리 김보겸 기자] 대한약품(023910)은 주당 750원을 지급하는 결산 현금배당을 결정했다고 13일 공시했다.배당금 총액은 44억원으로 배당 기준일은 지난해 12월31일이다.,2024-02-13 18:07
공시/메모,"GST, 주당 500원 결산 현금배당 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672509,['GS'],"GST, 주당 500원 결산 현금배당 결정",[이데일리 김보겸 기자] GST(083450)는 주당 500원을 지급하는 결산 현금배당을 결정했다고 13일 공시했다.배당금 총액은 45억원으로 배당 기준일은 지난해 12월31일이다,2024-02-13 18:06
