section,title,date,page,url,relate_stock,real_title,contents,datetime
기업/종목분석,"[속보] EU, 대한항공·아시아나항공 기업결합 조건부 승인",2024-02-13,1,https://n.news.naver.com/mnews/article/009/0005258026,['대한항공'],"[속보] EU, 대한항공·아시아나항공 기업결합 조건부 승인",인천국제공항 전망대에서 바라본 공항 계류장. [사진 = 연합뉴스]유럽연합(EU) 경쟁당국이 13일(현지시간) 대한항공과 아시아나항공의 기업결합을 조건부 승인했다.대한항공은 이날 한국의 공정거래위원회 격인 유럽연합집행위원회(EC)에서 아시아나항공 인수와 관련된 기업결합에 대해 조건부 승인을 획득했다고 밝혔다.EC가 독과점 우려를 나타냈던 화물사업부문과 여객 4개 노선에 대한 시정조치가 조건으로 붙었다.이에 따라 대한항공은 아시아나항공 화물사업부문 매각을 위한 입찰과 매수자 선정 등 매각 직전 조치를 마치면 EU의 최종 승인을 받게 된다.,2024-02-13 19:50
기업/종목분석,"NHN, 지난해 영업익 555억…전년比 42.2%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/009/0005258020,[],"NHN, 지난해 영업익 555억…전년比 42.2%↑","NHN(대표 정우진)은 지난해 연결기준 매출 2조2696억원, 영업이익 555억원을 기록했다고 13일 공시했다. 전년대비 각각 7.3%, 42.2% 증가한 결과다. 당기순손실 90억원이 발생했으나 전년대비 적자폭을 크게 줄였다.NHN은 “게임 사업의 안정적인 매출 기여와 결제&광고, 기술 등 주요 사업 매출이 증가했다”라며 “매출연동 비용 증가에도 광고선전비 등의 비용감소로 영업이익이 증가하고 순손실이 감소했다”라고 설명했다.4분기 실적은 매출 5983억원, 영업손실 78억원, 당기순손실 579억원을 기록했다. 매출은 전년동기 대비 6.7% 늘었으나 영업이익이 적자전환했다.NHN은 이날 실적 공시와 함께 기취득 자기주식 117만559주를 소각한다고 밝혔다. 소각 예정일은 26일, 소각예정금액 약 263억원이다.이와함께 오는 3월 27일 정기주주총회를 개최한다고 공시했다. 주요 의안은 이익잉여금 처분계산서 승인의 건(1주당 배당금 500원), 정관 일부 개정 승인의 건, 신규 사외이사 김용대 한국인공지능학회장 선임의 건 등이다.한편 NHN은 오는 14일 오전 9시에 2023년 4분기 및 연간 실적발표와 관련 기업설명회를 개최한다.",2024-02-13 18:54
기업/종목분석,"에이피알 ""뷰티테크 글로벌 1위 목표…병원용 의료기기 진출""",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672530,[],"에이피알 ""뷰티테크 글로벌 1위 목표…병원용 의료기기 진출""","원천기술 활용...사업영역 확대구주매출·오버행 우려엔 ""펀더멘털 강화할 것"" 13일 이데일리TV 뉴스.[이데일리TV 심영주 기자] 이번달 상장을 앞두고 있는 에이피알이 “홈 뷰티 디바이스 시장은 가장 큰 성장세를 보일 것”이라며 “독보적인 기술경쟁력을 통해 글로벌 1위 뷰티테크 기업으로 도약하겠다”고 밝혔습니다.에이피알은 오늘(13일) 서울 여의도에서 기업공개(IPO) 기자간담회를 열고 이 같이 말했습니다.회사는 향후 병원용 의료기기 시장으로 진출할 계획도 있다며 “원천기술 활용 방안 측면에서 사업영역을 확대할 예정”이라고 전했습니다.창업자이자 최대주주인 김병훈 대표의 구주매출 계획에 대해선 “특별한 목적이 있는 건 아니”라며 “사업에는 자신감이 있고 이를 바탕으로 공모 규모도 축소했다. 상장 후 주주가치 제고를 위해서 최선을 다하겠다”고 강조했습니다.에이피알은 이번 상장을 통해 총 37만9000주를 공모할 예정이며 이중 7만주를 구주매출할 계획입니다. 이는 김병훈 대표가 보유한 지분 일부로, 공모 흥행 걸림돌이 될 것으로 지적된 바 있습니다. 이어 오버행 우려에 대해서는 “회사가 할 수 있는 건 기업의 펀더멘털(기초체력)을 강화하는 것”이라며 “실적이나 사업의 성장성 등을 보여준다면 오버행 우려는 충분히 극복 가능할 것으로 본다”고 덧붙였습니다.에이피알의 상장직후 유통가능물량은 36.85%로, 상장 1개월 이후에는 48.38%로 늘어납니다.",2024-02-13 18:31
기업/종목분석,"ELS사태 불똥 튈라… 자산운용사, ELF상품 출시 줄줄이 철회",2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141665,[],"ELS사태 불똥 튈라… 자산운용사, ELF상품 출시 줄줄이 철회","ELF, ELS 3~4개 묶은 펀드상품4개 운용사 올들어 23건 무산 자산운용사들이 주가연계증권(ELS) 시장에서 발을 빼고 있다. ELS 몇 개를 묶어서 선보이던 주가연계펀드(ELF) 출시를 잇따라 철회하는 모습이다. 시중은행들이 ELS 판매 중단을 선언한 데다 금융당국의 압박 수위도 높아지면서 '긁어 부스럼'을 만들지 않겠다는 뜻으로 해석된다. 13일 금융감독원 전자공시시스템에 따르면 KB자산운용은 지난달 24일 'KB 스타지수연계증권투자신탁 KSE-51호'의 철회신고서를 공시했다. 같은 날 'KB 파워리자드지수연계증권투자신탁 SEN-155호'에 대해서도 철회를 공시했다. 앞서 '출시 철회'를 결정한 상품까지 합치면 올해 들어서만 총 5개 ELF의 설정이 무산됐다. 신한자산운용과 우리자산운용도 올해 각각 2개, 5개의 ELF 출시 계획을 포기했다. DB자산운용은 '판매계획 취소'를 사유로 무려 11개 상품에 대한 철회신고서를 제출했다. ELF는 3~4개 이상의 ELS를 묶어 펀드 형태로 구성한 상품이다. 단일 상품 투자와 달리, 분산효과를 누릴 수 있어 비교적 안정성이 높은 것으로 평가된다. ELS 역시 기초자산으로 삼는 주가지수, 개별 종목의 주가가 일정 수준 이상을 지키면 수익을 지급하므로 급락하지 않는 이상 문제가 없다. 통상 6개월 단위로 주어지는 조기상환 기회를 잡으면 연 8% 안팎의 수익을 취할 수 있다. 이에 지난 몇년 동안 이들 상품이 각광을 받았으나 최근 판매사들의 판매 중단으로 운용사들은 계획을 접을 수밖에 없는 형편이다. ELS는 지표가 기준점인 녹인 배리어 아래로 떨어진 뒤 만기까지 상환조건을 못 맞추면 하락률 만큼 원금을 잃게 되는데 홍콩 항셍중국기업지수(H지수)의 폭락이 그 도화선이 됐다. H지수 기초 ELS가 대규모 손실을 낼 것으로 예상되면서 시장이 대폭 위축되고, 판매 중단이 장기화될 것으로 예상된다. 국내 5대 시중은행이 주가연계신탁(ELT) 형태로 묶어 판매한 홍콩 ELS 가운데 올해 만기가 도래하는 물량은 모두 15조4000억원에 이른다. 이 가운데 10조2000억원어치가 상반기에 만기를 맞는다. H지수가 지금과 같은 흐름을 유지한다면 손실액은 7조원 수준이 될 전망이다. 펀드평가사 에프앤가이드에 따르면 국내 설정된 614개 ELF에선 최근 3개월 새 2885억원이 유출됐다. 불완전판매 문제로 엮이고 있는 만큼 괜한 불똥을 맞지 않기 위한 움직임으로도 해석된다. 금융당국이 시중은행을 비롯한 판매사에 대한 대대적인 조사를 벌이고 있는 데다 불완전판매 유형을 정리해 조만간 발표키로 한 만큼 전방위적인 제재가 가해질 수 있다. 이에 따라 운용사들은 ELF를 신규 출시하거나 기존 계획을 그대로 밀어 붙이기가 쉽지 않다. 한 자산운용업계 관계자는 “공모펀드는 접수부터 효력 발생까지 17일이 걸리는데 그 사이 판매사들이 어렵다고 결정하면 철회하는 것”이라며 “대부분 판매가 잠정 중단된 상태라 ELF 설정도 힘든 분위기”라고 전했다. #ELF #ELS #철회신고서",2024-02-13 18:24
기업/종목분석,"""복합 투자 강조"" 삼성證 콘텐츠 '올인왕자' 인기",2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141662,['삼성증권'],"""복합 투자 강조"" 삼성證 콘텐츠 '올인왕자' 인기","소설'어린왕자' 패러디 큰 호응6편 시리즈 영상 130만뷰 돌파 삼성증권 '올인왕자' 프롤로그삼성증권 유튜브채널이 선보이는 쇼츠 드라마 형식의 콘텐츠 '올인왕자'가 2030 투자자들의 공감을 얻으며 조회 수130만뷰를 돌파했다. 13일 삼성증권에 따르면 올인왕자는 소설 '어린왕자'를 패러디해 포트폴리오 투자를 권장하는 내용을 담고 있다. 2030 투자자라면 한 번쯤 겪었을 만한 현실적 에피소드와 빠른 전개를 통해 흥미를 유발한다. 특히 '넌 네가 투자한 것에 영원히 책임이 있어' '오전 9시에 장이 열린다면 나는 8시부터 행복해지기 시작할 거야' 등 명대사들을 투자 격언으로 패러디해 메시지의 전달력을 높였다. 해당 콘텐츠는 모두 6편으로 만들어졌다. 프롤로그에서는 '투자는 무조건 올인'이라는 마인드를 가진 올인왕자가 올인 투자의 위험성을 경고하는 장미꽃과의 갈등 끝에 다른 행성으로 떠나게 된다. 이후 여러 행성을 여행하며 '작전주 투자' '고위험상품 투자' '빚투'를 하다 위기에 처한 올인왕자가 마지막 행성에서 '투자의 현인' 여우를 만나 투자에 대한 책임을 깨닫고, 과거의 흑역사를 반성하게 된다. 에필로그에서는 시장의 변동성에 대응하는 포트폴리오 투자를 다짐하면서 장미꽃과 함께 '잃지 않는 투자'를 시작한다는 내용으로 마무리된다. 올인왕자의 무지성 투자 행태를 코믹하게 풀어낸 스토리에 2030 투자자들은 '남의 일이 아니다' '웃프다' '뼈를 맞았다' 등의 댓글로 공감을 표시하고 있다. 지난 5일 기준으로 6편의 콘텐츠 모두 조회수 25만회 안팎을 기록하며 증권사 유튜브 콘텐츠로는 큰 호응을 이끌어내고 있다.",2024-02-13 18:24
기업/종목분석,엔비디아·MS 등 빅테크 '엄지척'... 일라이릴리·버크셔·팔로알토 주목,2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141661,[],엔비디아·MS 등 빅테크 '엄지척'... 일라이릴리·버크셔·팔로알토 주목,"증권사 추천 해외 유망종목 우리 아이가 세뱃돈을 받았는데 어디에 투자를 하면 좋을까. 주식 전문가들은 유망한 해외주식을 추천한다. 인공지능(AI) 관련 빅테크들이 많은 추천을 받았지만 당장은 주목받지 못한 종목들 장기적으로는 투자할 만하다는 조언이다. 파이낸셜뉴스가 13일 증권사 주요 애널리스트들에 5·10·20년 뒤의 유망종목을 물었더니 엔비디아와 마이크로소프트 등 AI 관련 빅테크들이 첫 손가락에 꼽혔다. 한화투자증권 권병재 연구원은 엔비디아를 5~20년 후 유망종목 1순위에 모두 엔비디아를 적어냈다. 권 연구원은 ""AI는 단기적 테마가 아니라 추세""라고 강조했다. 키움증권 황현정 연구원도 ""AI 시장의 중심에는 AI 반도체가 있다""며 엔비디아를 추천했다. 한국투자증권 김대준 투자전략팀장은 마이크로소프트를 5~20년 후 유망종목 1순위로 들었다. ""AI 생태계를 지배할 기업""이라는 분석이다. 메리츠증권 이진우 투자전략팀장 역시 마이크로소프트를 꼽으며 ""AI 게임 체인저""라고 평가했다. 애플도 여전히 유망종목에 꼽혔다. 애플 생태계를 통해 여전히 혁신적인 모습을 보여주고 있다는 진단이다. 권병재 연구원은 ""비전프로를 중심으로 혼합현실 시장을 주도할 것""이라며 10년 후 유망종목에 애플을 넣었다. '제2의 엔비디아'로 거론되는 AMD의 경우 10~20년 후 유망종목에 이름을 올렸다. 권병재 연구원은 ""AMD가 엔비디아를 추격하고 있다""고 전했다. 구글 또한 ""생성형 AI가 빠르게 치고 올라온다""(황현정 연구원)는 평가를 받았다. 전기차 관련주에 대한 추천은 상대적으로 감소했다. 권병재 연구원은 ""테슬라도 5년 안에 전기차 수요 부진을 딛고 일어설 것""이라고 주장했고, 황현정 연구원은 ""테슬라의 배터리 성능을 뛰어 넘는 전고체 배터리 기업""이라며 퀀텀 스케이프를 추천목록에 올렸다. AI 테마가 아니어도 투자할 해외주식이 많다는 전문가들의 분석이다. 글로벌 제약사 일라이릴리가 대표적이다. 황현정 연구원은 ""일라이릴리의 비만치료제 '젭바운드'는 없어서 못판다""며 ""투자 열기가 끊이지 않을 것""이라고 내다봤다. 이진우 팀장도 ""비만 치료제를 바탕으로 한 바이오 산업리더""라고 판단했다. '투자의 달인' 워런 버핏이 이끌고 있는 글로벌 투자사 버크셔해서웨이도 안정적 성장을 이어가고 있다는 점에서 전문가들의 추천 리스트에 포함됐다. 김대준 팀장은 ""시장수익률 상회가 가능한 기업""이라고 평가했고, 이진우 팀장은 ""안정적 성장기업""이라고 설명했다. AI에 투자하고 싶은데 빅테크 기업의 가격이 부담스럽다면 상대적으로 미래 가치가 큰 기업에 투자하는 것도 나쁘지 않다는 전문가들의 견해다. 황현정 연구원은 ""네트웍스 AI 시장이 커지면 보안 수요도 같이 늘어난다""며 AI 기반 보안 플랫폼 팔로알토를 10년 후 유망종목으로 꼽았다. 전력 관리기업 이튼과 양자컴퓨팅 기업 아이온큐도 ""미래가 기대되는 기업""이라는 평가를 받았다. 키움증권 박주영 연구원은 바이두를 20년 후 유망종목으로 꼽았다. 박 연구원은 ""진입 장벽이 있는 중국시장에서 AI 최대 수혜주""라고 강조했다.",2024-02-13 18:23
기업/종목분석,"[공시]NHN, 2023년 영업익 555억..42.2%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141724,[],"[공시]NHN, 2023년 영업익 555억..42.2%↑","[파이낸셜뉴스] NHN은 지난해 연결기준 매출 2조2696억원, 영업이익 555억원을 기록했다고 13일 공시했다. 전년대비 각각 7.3%, 42.2% 증가했다. 당기순손실 90억원이 발생했으나 전년대비 적자폭을 크게 줄였다. #NHN",2024-02-13 19:42
기업/종목분석,"[공시]HD한국조선해양, 여객선 2척 건조계약 해지..4169억",2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141722,"['HD한국조선해양', 'HD현대']","[공시]HD한국조선해양, 여객선 2척 건조계약 해지..4169억",[파이낸셜뉴스] HD현대의 조선 중간 지주사인 HD한국조선해양은 뉴질랜드 키위레일과 체결한 여객선 2척에 대한 건조 계약이 해지됐다고 13일 공시했다. 계약은 선주사 측 요청으로 해지됐다. 총계약 규모는 4169억원이다. #HD한국조선해양,2024-02-13 19:30
기업/종목분석,국내 증시 관련주도 일제히 급등... 우리기술투자 9%·한투 4.66%↑ [비트코인 5만달..,2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141686,[],국내 증시 관련주도 일제히 급등... 우리기술투자 9%·한투 4.66%↑ [비트코인 5만달러 돌파],"비트코인 가격이 2년3개월 만에 5만달러를 돌파하면서 국내 증시에서 관련 종목들의 주가도 일제히 날아올랐다. 13일 한국거래소에 따르면 이날 한화투자증권우 주가는 전 거래일 대비 12.99% 상승한 1만원에 장을 마감했다. 한화투자증권은 가상자산 거래소 업비트 운영사인 두나무 지분을 보유하고 있어 관련주로 묶인다. 본주인 한화투자증권도 4.66%의 상승세를 나타냈다. 역시 두나무 지분을 가진 우리기술투자도 9.05% 오른 6870원에 거래를 마쳤다. 이 밖에 티사이언티픽(6.04%), 위지트(5.15%) 등도 상승세를 보였다. 위지트는 자회사 티사이언티픽이 빗썸코리아 지분을 보유하고 있어 가상자산 관련주로 분류된다. 비상장사인 두나무 역시 비상장주식 거래플랫폼 '증권플러스 비상장'에서 전 거래일 대비 15.00% 올랐다. 이날 비트코인이 5만달러 선을 돌파하면서 관련 종목들에 투자심리가 몰린 것으로 분석된다. 12일(현지시간) 미국 가상자산 거래소 코인베이스에 따르면 이날 오후 7시30분 기준 비트코인 가격은 24시간 전보다 3.22% 상승한 개당 5만19달러(6649만원)에 거래됐다. 비트코인이 5만달러를 넘어선 것은 2021년 12월 이후 처음이다. 올해 초 비트코인 현물 상장지수펀드(ETF) 출시 이후 가상자산 시장에서의 투자심리가 꾸준히 개선된 영향이다. 현물 ETF 호재가 비트코인 가격을 계속 끌어올릴 것으로 예상되면서 향후 관련 종목들도 상승세를 이어갈 것이란 전망이 나온다. 앤서니 폼플리아노 폼프 인베스트먼트 설립자는 이날 CNBC와의 인터뷰에서 ""비트코인 현물 ETF 수요가 일일 생산량의 12.5배에 달하고 있다""며 ""이 흐름이 지속된다면 전고점 경신이 기대된다""고 전했다. 비트코인 가격은 지난 2021년 11월 10일 6만8982.20달러로 정점을 찍은 바 있다. 일각에서는 현물 ETF 승인으로 가상자산 거래소들의 주가는 하락할 수 있다는 견해도 나온다. 그동안 비트코인 거래를 위해 가상자산 거래소를 이용해 온 투자자들이 앞으로 주식시장에서 전통 금융사의 ETF 상품으로 눈을 돌릴 것이라는 설명이다.",2024-02-13 18:32
기업/종목분석,"신한운용, 달러 단기자금펀드 1억달러 돌파",2024-02-13,1,https://n.news.naver.com/mnews/article/014/0005141663,[],"신한운용, 달러 단기자금펀드 1억달러 돌파","신한자산운용의 '신한달러단기자금펀드(USD)'가 설정액 1억달러(약 1329억원)를 넘었다. 달러 자산에 대한 적극적 운용 수요와 경쟁 상품보다 우수한 성과가 주효했다. 13일 신한운용에 따르면 신한달러단기자금펀드(USD)는 출시(2023년 9월 21일) 이후 약 5개월 만에 설정액 1억달러를 돌파했다. 개인도 가입할 수 있고, 환매수수료 없이 수시로 입출이 가능하다. 외화 머니마켓펀드(MMF)와 동일한 환매스케줄(T+2 환매)을 가진 동시에 상대적으로 더 유연한 전략을 택했다. 지난해 처음 나온 달러표시 MMF는 달러 정기예금보다 높은 이율을 제공하는 동시에 만기가 따로 없어 원하는 시점에 환매할 수 있다. 다만, 법인만 가입이 허용돼 개인들의 아쉬움이 컸다. '신한달러단기자금펀드(USD)'는 이런 갈증을 채워줄 대안으로 꼽힌다. 성과도 좋다. 펀드평가사 KG제로인에 따르면 설정 이후 연환산 수익률은 6.03%(1월 말 기준)로 집계됐다. 외화 MMF(5.23%·7개 운용사 평균), 시중은행 외화정기예금(4.58%·4대 시중은행 평균)를 웃돈다. 이는 차별화된 운용전략 덕분이다. 미국 국채 및 달러표시 한국물 등에 투자할 뿐만 아니라 달러 셀&바이(현물환 매도·선물환 매수) 스왑을 통해 마진을 얻는 전략 등을 구사한다. 또 6개월 이내 짧은 듀레이션(채권만기) 전략으로 안정적인 수익을 추구할 수 있다. 신한운용 강판석 매니저는 ""미국 장단기 금리가 역전된 만큼 달러 단기자금 투자매력은 높다""며 ""외화 MMF 대비 유사한 변동성 수준을 목표로 하면서도 국내외 경제 상황에 맞춰 유연한 전략으로 더 높은 성과를 노릴 수 있다""고 전했다.",2024-02-13 18:24
